Sr No,Image File,Caption,20516,img2/insta20516,wHaT dAy Is It Even #stayhomeclub
2.0,img/insta2,bye ,,,
3.0,img/insta3,"Ok, a few more... sorry I just had so much fun that day ",,,
4.0,img/insta4,"This was one of my favorite shoots I’ve ever done! Thank you -a seriously badass woman, for shooting my cover! And thank you to everyone who asked a question for the interview 🤍 ",,,
5.0,img/insta5,Wrapped round my finger like a ring ,,,
6.0,img/insta6,"Yesterday was so much fun!! has been such a huge figure in my life. I love her humor, her grace and her heart! Check out the interview where I’m gushing over her the whole time! ",,,
7.0,img/insta7,Well.. ,,,
8.0,img/insta8,It’s officially out! I was a bit embarrassed asking so often for you to stream or buy my album. It felt inauthentic. Thank YOU so much for making something so personal to me be a moment I’ll never forget. All I truly desire is for you all to enjoy the music and spread the love 🦋🌈💫 ,,,
9.0,img/insta9,I hope you guys are liking the album! I just want to thank you guys for supporting me and this body of work. It means the world to me.. you have no idea. Sorry if it’s been a lot. Anyhow here’s some pics from my Rare music video. 🤎 ,,,
10.0,img/insta10,Did it again 🦋 rare ,,,
11.0,img/insta11,R.A.R.E ,,,
12.0,img/insta12,Had so much fun at the premiere this morning 🌸🦒 oh and I play a giraffe. Comes out 1/17! ,,,
13.0,img/insta13,So my rare video is out! So I’m posting a few pics from that day ,,,
14.0,img/insta14,HERE IT IS!!! My album is officially out in the universe.. thank you for the souls that worked on this with me. Now it’s yours. Hope you like it. 🌈🌸💐 ,,,
15.0,img/insta15,There must be a sweeter place. ,,,
16.0,img/insta16,I gotta get you out my head now… I just cut you off. ,,,
17.0,img/insta17,"You may not be the one, but you look like fun. ",,,
18.0,img/insta18,"I think you’re kinda crazy… and not the good kind, baby. ",,,
19.0,img/insta19,People can go from people you know to people you don’t. ,,,
20.0,img/insta20,If the only other option’s letting go – I’ll stay vulnerable. ,,,
21.0,img/insta21,Hi New Year. Let’s make this one better than the rest. ,,,
22.0,img/insta22,Feels so good to dance again ,,,
23.0,img/insta23,"Merry Christmas and many, many blessings to you and your close loved ones!! 4,000 down 6,000 more to go RARE is coming out Jan 10th 🥴 ",,,
24.0,img/insta24,I will share so many of these stories and voices. Voices that need to be heard. We are working on something so special that will hopefully change so many lives. This is all I can post for now. you do INCREDIBLE things and I’m honored to be apart of the family! Just the beginning.. my heart will be dedicated to people and serving. ,,,
25.0,img/insta25,"I have so much to share about my trip to Kenya, London and Paris. I wanted to be in every single moment so I’ll share so much more when I get home. This trip was about others... which makes it way more meaningful. Serving is the greatest gift. ",,,
26.0,img/insta26,Feels good to be back. Thank you to my entire team and to my fans that stand by me. All of this is for you and because of you. excited for this chapter 💚 ,,,
27.0,img/insta27,AMAs day.. more to come..🌼 ,,,
28.0,img/insta28,"It was my absolute honor to present the Bill of Rights Award to the incredible Activist, artist, songwriter, carrier of hope and my friend. 🖤 ",,,
29.0,img/insta29,Well.. Still here. ,,,
30.0,img/insta30,Grateful for ze pasta 🍝 ,,,
31.0,img/insta31,Puma fam. In my Cali Sport. ❤ ,,,
32.0,img/insta32,"My love, my heart and my soul 🖤 ",,,
33.0,img/insta33,So incredibly honored to be part of Start the conversation and make sure your voice is heard. Join us at ❤️ ,,,
34.0,img/insta34,Hope I’m officially the best big sissy ever now.. she was LIVING her best life!! Frozen 2 was amazing!!! Styled by: Glam: birthed by: 💙 ,,,
35.0,img/insta35,Appreciation post for the squad that’s the loyalist since day 1 💙 ,,,
